X,Y,OBJECTID,ADDRESS,NAME,ADDRID
-77.034291641862438,38.896661719441227,53,ALEXANDER HAMILTON PL NW,ALEXANDER HAMILTON (FRASER),294176
-77.040522860564295,38.889395552686317,54,1750 INDEPENDENCE AVE SW,WORLD WAR II MEMORIAL,294407
-77.034297948214075,38.895999102663339,55,ALEXANDER HAMILTON PL NW,GENERAL WILLIAM TECUMSEH SHERMAN MONUMENT,294176
-77.001185111527619,38.934461932352036,56,400 MICHIGAN AVE NE,SAINT MOTHER THÉODORE GUÉRIN (CLARK),291632
-77.030055191420743,38.893504829693249,57,1300 PENNSYLVANIA AVE NW,WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS,293198
-77.062832331717772,38.896184496537217,58,5 HENRY BACON DR NW,THEODORE ROOSEVELT ISLAND,294271
-77.047038399743414,38.890283436354473,59,5 HENRY BACON DR NW,VIETNAM WOMEN'S WAR MEMORIAL,294271
-77.047714388742932,38.891244520771551,60,5 HENRY BACON DR NW,VIETNAM VETERANS WAR MEMORIAL,294271
-77.006370971663173,38.897084925990747,61,UNION STATION (COLUMBUS CIRCLE),THE PROGRESS OF RAILROADING,293243
-77.035129625709104,38.920267145068685,62,2400 15TH ST NW,JAMES BUCHANAN MEMORIAL,294183
-77.036056506088116,38.921008817385975,63,2400 15TH ST NW,SERENITY (CLARA),294183
-77.035708049442746,38.920710236199604,64,2400 15TH ST NW,JOAN OF ARC MEMORIAL,294183
-77.037944853382101,38.892605424506058,65,E EXECUTIVE AVE & STATE PLACE NW,SECOND INFANTRY DIVISION MEMORIAL,294230
-77.036578710159588,38.895116668039947,66,E EXECUTIVE AVE & STATE PLACE NW,ZERO MILESTONE,294230
-77.037433366408052,38.895275712982752,67,E EXECUTIVE AVE & STATE PLACE NW,BUTT-MILLET MEMORIAL FOUNTAIN,294230
-77.012890645971254,38.889784057743007,68,(US CAPITOL) 1ST ST SE & EAST CAPITOL ST NE,ULYSSES S. GRANT MEMORIAL,294394
-77.012306671921024,38.890645265636728,69,(US CAPITOL) 1ST ST SE & EAST CAPITOL ST NE,PEACE MONUMENT,294394
-77.039175373579496,38.879583028215336,70,14TH STREET BRIDGE,GEORGE MASON MEMORIAL,300874
-77.047667002038537,38.887787171377603,71,14TH STREET BRIDGE,KOREAN WAR VETERANS MEMORIAL,300874
-77.035377791876087,38.899010104962471,72,LAFAYETTE SQUARE,MAJOR GENERAL MARQUIS GILBERT DE LAFAYETTE,302944
-77.037717143602066,38.899009413600005,73,LAFAYETTE SQUARE,MAJOR GENERAL COMTE JEAN DE ROCHAMBEAU,302944
-77.037707916033298,38.90001809997073,74,LAFAYETTE SQUARE,MAJOR GENERAL FRIEDRICH WILHELM VON STREUBEN,302944
-77.035377582036119,38.900018828944923,75,LAFAYETTE SQUARE,BRIGADIER GENERAL THADDEUS KOSCIUSZKO,302944
